element_type,first_name,form,id,points_per_game,second_name,selected_by_percent,special,web_name,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90
3,Fábio,2.7,4,3.8,Ferreira Vieira,0.1,False,Fábio Vieira,0.41,0.29,0.70,1.41,0.22,0.0,0.15,0.37,0.74,1.05,1.05,0.53
2,Gabriel,2.7,5,2.0,dos Santos Magalhães,12.8,False,Gabriel,0.07,0.04,0.11,3.51,0.02,0.0,0.01,0.03,1.07,0.92,0.92,0.31
3,Kai,1.0,6,1.3,Havertz,1.7,False,Havertz,0.76,0.48,1.24,4.13,0.19,0.0,0.12,0.31,1.02,0.98,0.98,0.25
4,Gabriel,3.0,8,2.5,Fernando de Jesus,4.0,False,G.Jesus,1.31,0.06,1.37,1.68,1.03,0.0,0.05,1.08,1.31,1.57,0.78,0.0
3,Jorge Luiz,0.7,9,1.0,Frello Filho,0.2,False,Jorginho,0.00,0.05,0.05,1.44,0.0,0.0,0.07,0.07,2.06,2.86,0.0,0.0
3,Gabriel,2.0,12,3.2,Martinelli Silva,4.7,False,Martinelli,0.79,0.54,1.33,2.99,0.2,0.0,0.14,0.34,0.76,1.01,1.26,0.25
4,Eddie,1.7,13,3.8,Nketiah,5.6,False,Nketiah,1.69,0.20,1.89,3.53,0.36,0.0,0.04,0.4,0.75,0.85,1.06,0.64
3,Martin,3.7,14,4.3,Ødegaard,22.0,False,Ødegaard,1.74,0.51,2.25,5.03,0.29,0.0,0.09,0.38,0.85,0.85,1.02,0.34
1,Aaron,0.7,17,2.8,Ramsdale,12.3,False,Ramsdale,0.00,0.01,0.01,3.73,0.0,1.25,0.0,0.0,0.93,1.0,1.0,0.25
3,Bukayo,7.7,19,7.3,Saka,58.7,False,Saka,3.02,2.01,5.03,5.18,0.51,0.0,0.34,0.85,0.87,1.0,1.0,0.33
2,William,3.0,20,3.8,Saliba,27.1,False,Saliba,0.04,0.10,0.14,5.53,0.01,0.0,0.02,0.03,0.92,1.0,1.0,0.33
3,Emile,0.3,22,1.0,Smith Rowe,0.1,False,Smith Rowe,0.00,0.01,0.01,0.08,0.0,0.0,0.9,0.9,7.2,0.0,0.0,0.0
2,Takehiro,0.7,25,1.5,Tomiyasu,0.3,False,Tomiyasu,0.03,0.07,0.10,2.85,0.02,0.0,0.05,0.07,1.97,0.69,0.69,0.69
