code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
3,1,Arsenal,ARS,False,1,1,2.0,2.0,16.0,1.0,2.0,True,True
7,2,Aston Villa,AVL,False,2,1,6.0,4.0,15.0,5.0,1.0,True,False
91,3,Bournemouth,BOU,False,127,1,3.0,2.0,19.0,1.0,1.0,True,True
94,4,Brentford,BRE,False,130,1,8.0,3.0,18.0,2.0,2.0,True,True
36,5,Brighton,BHA,False,131,1,4.0,2.0,12.0,1.0,4.0,True,True
90,6,Burnley,BUR,False,43,1,1.0,5.0,13.0,3.0,0.0,True,True
8,7,Chelsea,CHE,False,4,1,9.0,4.0,11.0,1.0,1.0,True,True
31,8,Crystal Palace,CRY,False,6,1,7.0,2.0,17.0,0.0,1.0,True,False
11,9,Everton,EVE,False,7,1,5.0,2.0,10.0,1.0,0.0,True,True
54,10,Fulham,FUL,False,34,1,5.0,2.0,9.0,0.0,1.0,True,False
14,11,Liverpool,LIV,False,10,1,9.0,3.0,7.0,1.0,1.0,True,False
102,12,Luton,LUT,False,163,1,4.0,3.0,5.0,4.0,1.0,True,False
43,13,Man City,MCI,False,11,1,1.0,2.0,6.0,0.0,3.0,True,False
1,14,Man Utd,MUN,False,12,1,10.0,2.0,20.0,0.0,1.0,True,True
4,15,Newcastle,NEW,False,23,1,6.0,3.0,2.0,1.0,5.0,True,True
17,16,Nott'm Forest,NFO,False,15,1,2.0,4.0,1.0,2.0,1.0,True,False
49,17,Sheffield Utd,SHU,False,18,1,7.0,2.0,8.0,1.0,0.0,True,True
6,18,Spurs,TOT,False,21,1,8.0,3.0,4.0,2.0,2.0,True,False
21,19,West Ham,WHU,False,25,1,3.0,2.0,3.0,1.0,1.0,True,False
39,20,Wolves,WOL,False,38,1,10.0,4.0,14.0,1.0,0.0,True,False
3,1,Arsenal,ARS,False,1,2,12.0,2.0,8.0,0.0,1.0,True,False
7,2,Aston Villa,AVL,False,2,2,11.0,2.0,9.0,0.0,4.0,True,True
91,3,Bournemouth,BOU,False,127,2,14.0,4.0,11.0,3.0,1.0,True,False
94,4,Brentford,BRE,False,130,2,13.0,2.0,10.0,0.0,3.0,True,False
36,5,Brighton,BHA,False,131,2,20.0,2.0,20.0,1.0,4.0,True,False
90,6,Burnley,BUR,False,43,2,,,,,,,
8,7,Chelsea,CHE,False,4,2,19.0,3.0,19.0,3.0,1.0,True,False
31,8,Crystal Palace,CRY,False,6,2,12.0,4.0,1.0,1.0,0.0,True,True
11,9,Everton,EVE,False,7,2,11.0,3.0,2.0,4.0,0.0,True,False
54,10,Fulham,FUL,False,34,2,13.0,3.0,4.0,3.0,0.0,True,True
14,11,Liverpool,LIV,False,10,2,14.0,2.0,3.0,1.0,3.0,True,True
102,12,Luton,LUT,False,163,2,,,,,,,
43,13,Man City,MCI,False,11,2,16.0,4.0,15.0,0.0,1.0,True,True
1,14,Man Utd,MUN,False,12,2,18.0,3.0,18.0,2.0,0.0,True,False
4,15,Newcastle,NEW,False,23,2,16.0,5.0,13.0,1.0,0.0,True,False
17,16,Nott'm Forest,NFO,False,15,2,17.0,2.0,17.0,1.0,2.0,True,True
49,17,Sheffield Utd,SHU,False,18,2,17.0,2.0,16.0,2.0,1.0,True,False
6,18,Spurs,TOT,False,21,2,18.0,3.0,14.0,0.0,2.0,True,True
21,19,West Ham,WHU,False,25,2,19.0,3.0,7.0,1.0,3.0,True,True
39,20,Wolves,WOL,False,38,2,20.0,3.0,5.0,4.0,1.0,True,True
3,1,Arsenal,ARS,False,1,3,21.0,2.0,10.0,2.0,2.0,True,True
7,2,Aston Villa,AVL,False,2,3,25.0,2.0,6.0,1.0,3.0,True,False
